# Spinorama measured speaker EQ; revision b38d2715441f134a63b737b2fd913d14058a2643
# Model<TAB>Source<TAB>Path; only actual iir-autoeq.txt files, no symlinks
Ascend Acoustics CBM-170 SE2	Spinorama	datas/eq/Ascend Acoustics CBM-170 SE2/iir-autoeq.txt
Ascend Acoustics CMT-340 Center	Spinorama	datas/eq/Ascend Acoustics CMT-340 Center/iir-autoeq.txt
Ascend Acoustics CMT-340 SE2	Spinorama	datas/eq/Ascend Acoustics CMT-340 SE2/iir-autoeq.txt
Ascend Acoustics ELX Ribbon Horizon	Spinorama	datas/eq/Ascend Acoustics ELX Ribbon Horizon/iir-autoeq.txt
Ascend Acoustics ELX Ribbon Tower	Spinorama	datas/eq/Ascend Acoustics ELX Ribbon Tower/iir-autoeq.txt
Ascend Acoustics HTM-200SE2	Spinorama	datas/eq/Ascend Acoustics HTM-200SE2/iir-autoeq.txt
Ascend Acoustics Horizon Center	Spinorama	datas/eq/Ascend Acoustics Horizon Center/iir-autoeq.txt
Ascend Acoustics Luna Duo	Spinorama	datas/eq/Ascend Acoustics Luna Duo/iir-autoeq.txt
Ascend Acoustics Luna Mini-Monitor	Spinorama	datas/eq/Ascend Acoustics Luna Mini-Monitor/iir-autoeq.txt
Ascend Acoustics Luna V2 Mini-Monitor Ribbon	Spinorama	datas/eq/Ascend Acoustics Luna V2 Mini-Monitor Ribbon/iir-autoeq.txt
Ascend Acoustics Luna V2 Mini-Monitor Titan	Spinorama	datas/eq/Ascend Acoustics Luna V2 Mini-Monitor Titan/iir-autoeq.txt
Ascend Acoustics Sierra 1 V2	Spinorama	datas/eq/Ascend Acoustics Sierra 1 V2/iir-autoeq.txt
Ascend Acoustics Sierra 2	Spinorama	datas/eq/Ascend Acoustics Sierra 2/iir-autoeq.txt
Ascend Acoustics Sierra Duo V2 LCR Ribbon	Spinorama	datas/eq/Ascend Acoustics Sierra Duo V2 LCR Ribbon/iir-autoeq.txt
Ascend Acoustics Sierra Duo V2 LCR Titan	Spinorama	datas/eq/Ascend Acoustics Sierra Duo V2 LCR Titan/iir-autoeq.txt
Ascend Acoustics Sierra Titan	Spinorama	datas/eq/Ascend Acoustics Sierra Titan/iir-autoeq.txt
Ascend Acoustics Sierra-2EX V2	Spinorama	datas/eq/Ascend Acoustics Sierra-2EX V2/iir-autoeq.txt
Ascend Acoustics Sierra-2EX	Spinorama	datas/eq/Ascend Acoustics Sierra-2EX/iir-autoeq.txt
Ascend Acoustics Sierra-LX	Spinorama	datas/eq/Ascend Acoustics Sierra-LX/iir-autoeq.txt
AsciLab A6B Passive	Spinorama	datas/eq/AsciLab A6B Passive/iir-autoeq.txt
AsciLab C5B	Spinorama	datas/eq/AsciLab C5B/iir-autoeq.txt
AsciLab C6B	Spinorama	datas/eq/AsciLab C6B/iir-autoeq.txt
AsciLab F6B	Spinorama	datas/eq/AsciLab F6B/iir-autoeq.txt
AsciLab F6Bs	Spinorama	datas/eq/AsciLab F6Bs/iir-autoeq.txt
Atlantic Technology 8600eC Center	Spinorama	datas/eq/Atlantic Technology 8600eC Center/iir-autoeq.txt
Atlantic Technology 8600eLR Tower	Spinorama	datas/eq/Atlantic Technology 8600eLR Tower/iir-autoeq.txt
Attack Audio VSH206	Spinorama	datas/eq/Attack Audio VSH206/iir-autoeq.txt
Attack Audio VSL206+sub	Spinorama	datas/eq/Attack Audio VSL206+sub/iir-autoeq.txt
Attack Audio VSL206	Spinorama	datas/eq/Attack Audio VSL206/iir-autoeq.txt
Audio Craftsmen Victoria	Spinorama	datas/eq/Audio Craftsmen Victoria/iir-autoeq.txt
Audio Engine A2+	Spinorama	datas/eq/Audio Engine A2+/iir-autoeq.txt
Audio Engine A2	Spinorama	datas/eq/Audio Engine A2/iir-autoeq.txt
Audio Engine A5+ Powered	Spinorama	datas/eq/Audio Engine A5+ Powered/iir-autoeq.txt
Audio First Design Fidelia	Spinorama	datas/eq/Audio First Design Fidelia/iir-autoeq.txt
Audio Pro Addon T14	Spinorama	datas/eq/Audio Pro Addon T14/iir-autoeq.txt
Audio Smile Little British Monitor	Spinorama	datas/eq/Audio Smile Little British Monitor/iir-autoeq.txt
Audiofocus VENU 12a	Spinorama	datas/eq/Audiofocus VENU 12a/iir-autoeq.txt
Audiofocus VENU 15a	Spinorama	datas/eq/Audiofocus VENU 15a/iir-autoeq.txt
Audiofocus VENU 8a	Spinorama	datas/eq/Audiofocus VENU 8a/iir-autoeq.txt
Audiovector M1 Super	Spinorama	datas/eq/Audiovector M1 Super/iir-autoeq.txt
Avantgarde Acoustic Solo	Spinorama	datas/eq/Avantgarde Acoustic Solo/iir-autoeq.txt
Avantone Pro CLA-10	Spinorama	datas/eq/Avantone Pro CLA-10/iir-autoeq.txt
Avantone Pro MixCube	Spinorama	datas/eq/Avantone Pro MixCube/iir-autoeq.txt
Axiom ED120A	Spinorama	datas/eq/Axiom ED120A/iir-autoeq.txt
Axiom ED150A	Spinorama	datas/eq/Axiom ED150A/iir-autoeq.txt
Axiom ED60P	Spinorama	datas/eq/Axiom ED60P/iir-autoeq.txt
Axiom ED80P	Spinorama	datas/eq/Axiom ED80P/iir-autoeq.txt
BIC America FH6-LCR Center	Spinorama	datas/eq/BIC America FH6-LCR Center/iir-autoeq.txt
BIC America Venturi DV62si	Spinorama	datas/eq/BIC America Venturi DV62si/iir-autoeq.txt
Bang & Olufsen Beolab 20	Spinorama	datas/eq/Bang & Olufsen Beolab 20/iir-autoeq.txt
Bang & Olufsen Beosound Balance	Spinorama	datas/eq/Bang & Olufsen Beosound Balance/iir-autoeq.txt
Barefoot Footprint 01	Spinorama	datas/eq/Barefoot Footprint 01/iir-autoeq.txt
Barefoot Footprint 02	Spinorama	datas/eq/Barefoot Footprint 02/iir-autoeq.txt
Behringer B2030p	Spinorama	datas/eq/Behringer B2030p/iir-autoeq.txt
Behringer B2031A	Spinorama	datas/eq/Behringer B2031A/iir-autoeq.txt
Behringer Eurolive B212XL	Spinorama	datas/eq/Behringer Eurolive B212XL/iir-autoeq.txt
Behringer Eurolive B215XL	Spinorama	datas/eq/Behringer Eurolive B215XL/iir-autoeq.txt
BiAmp Community IC6-1062	Spinorama	datas/eq/BiAmp Community IC6-1062/iir-autoeq.txt
BiAmp Community IC6-1082	Spinorama	datas/eq/BiAmp Community IC6-1082/iir-autoeq.txt
BiAmp Community IC6-1122	Spinorama	datas/eq/BiAmp Community IC6-1122/iir-autoeq.txt
BiAmp Community IC6-1152	Spinorama	datas/eq/BiAmp Community IC6-1152/iir-autoeq.txt
BiAmp Community IC8-1153	Spinorama	datas/eq/BiAmp Community IC8-1153/iir-autoeq.txt
BiAmp Community V2-26	Spinorama	datas/eq/BiAmp Community V2-26/iir-autoeq.txt
BiAmp Community V2-28	Spinorama	datas/eq/BiAmp Community V2-28/iir-autoeq.txt
BiAmp Community V2-3294	Spinorama	datas/eq/BiAmp Community V2-3294/iir-autoeq.txt
BiAmp Community V2-3594	Spinorama	datas/eq/BiAmp Community V2-3594/iir-autoeq.txt
BiAmp Community V2-6	Spinorama	datas/eq/BiAmp Community V2-6/iir-autoeq.txt
BiAmp Community V2-8	Spinorama	datas/eq/BiAmp Community V2-8/iir-autoeq.txt
Bose 141	Spinorama	datas/eq/Bose 141/iir-autoeq.txt
Bose 301 Series IV	Spinorama	datas/eq/Bose 301 Series IV/iir-autoeq.txt
Bose 901 Series V	Spinorama	datas/eq/Bose 901 Series V/iir-autoeq.txt
Bose AMM108	Spinorama	datas/eq/Bose AMM108/iir-autoeq.txt
Bose AMM112	Spinorama	datas/eq/Bose AMM112/iir-autoeq.txt
Bose ArenaMatch AM10	Spinorama	datas/eq/Bose ArenaMatch AM10/iir-autoeq.txt
Bose ArenaMatch AM20	Spinorama	datas/eq/Bose ArenaMatch AM20/iir-autoeq.txt
Bose ArenaMatch AM40	Spinorama	datas/eq/Bose ArenaMatch AM40/iir-autoeq.txt
Bose DesignMax DM5SE	Spinorama	datas/eq/Bose DesignMax DM5SE/iir-autoeq.txt
Bose DesignMax DM6SE	Spinorama	datas/eq/Bose DesignMax DM6SE/iir-autoeq.txt
Bose DesignMax DM8S	Spinorama	datas/eq/Bose DesignMax DM8S/iir-autoeq.txt
Bose SoundLink Revolve+	Spinorama	datas/eq/Bose SoundLink Revolve+/iir-autoeq.txt
Bose SoundLink Revolve	Spinorama	datas/eq/Bose SoundLink Revolve/iir-autoeq.txt
Bose TV Speaker Soundbar	Spinorama	datas/eq/Bose TV Speaker Soundbar/iir-autoeq.txt
Boston Acoustics A 25	Spinorama	datas/eq/Boston Acoustics A 25/iir-autoeq.txt
Bowers & Wilkins 607 S2 Anniversary Edition	Spinorama	datas/eq/Bowers & Wilkins 607 S2 Anniversary Edition/iir-autoeq.txt
Bowers & Wilkins 686 S2	Spinorama	datas/eq/Bowers & Wilkins 686 S2/iir-autoeq.txt
Bowers & Wilkins 802N	Spinorama	datas/eq/Bowers & Wilkins 802N/iir-autoeq.txt
Bowers & Wilkins 803 D3	Spinorama	datas/eq/Bowers & Wilkins 803 D3/iir-autoeq.txt
Bowers & Wilkins 805S	Spinorama	datas/eq/Bowers & Wilkins 805S/iir-autoeq.txt
Bowers & Wilkins CWM7.3 S2	Spinorama	datas/eq/Bowers & Wilkins CWM7.3 S2/iir-autoeq.txt
Bowers & Wilkins CWM7.5	Spinorama	datas/eq/Bowers & Wilkins CWM7.5/iir-autoeq.txt
Bowers & Wilkins Formation Flex	Spinorama	datas/eq/Bowers & Wilkins Formation Flex/iir-autoeq.txt
Bowers & Wilkins HTM81 D4	Spinorama	datas/eq/Bowers & Wilkins HTM81 D4/iir-autoeq.txt
Buchardt Audio A10	Spinorama	datas/eq/Buchardt Audio A10/iir-autoeq.txt
Buchardt Audio A500	Spinorama	datas/eq/Buchardt Audio A500/iir-autoeq.txt
Buchardt Audio A700	Spinorama	datas/eq/Buchardt Audio A700/iir-autoeq.txt
Buchardt Audio E50	Spinorama	datas/eq/Buchardt Audio E50/iir-autoeq.txt
Buchardt Audio S400 MKII	Spinorama	datas/eq/Buchardt Audio S400 MKII/iir-autoeq.txt
Buchardt Audio S400	Spinorama	datas/eq/Buchardt Audio S400/iir-autoeq.txt
Børresen X3	Spinorama	datas/eq/Børresen X3/iir-autoeq.txt
CSS Criton 1TD-X DIY	Spinorama	datas/eq/CSS Criton 1TD-X DIY/iir-autoeq.txt
CSS Criton 3TD-X DIY	Spinorama	datas/eq/CSS Criton 3TD-X DIY/iir-autoeq.txt
Cambridge Audio Minx MIN12	Spinorama	datas/eq/Cambridge Audio Minx MIN12/iir-autoeq.txt
Cambridge Audio Minx XL	Spinorama	datas/eq/Cambridge Audio Minx XL/iir-autoeq.txt
Cambridge Soundworks Model Six	Spinorama	datas/eq/Cambridge Soundworks Model Six/iir-autoeq.txt
Canon S-50	Spinorama	datas/eq/Canon S-50/iir-autoeq.txt
Canton Plus GLX.3	Spinorama	datas/eq/Canton Plus GLX.3/iir-autoeq.txt
Canton Vento 826.2	Spinorama	datas/eq/Canton Vento 826.2/iir-autoeq.txt
Carmody S2000 DIY Speaker Kit	Spinorama	datas/eq/Carmody S2000 DIY Speaker Kit/iir-autoeq.txt
Celuaris Purify SPK5 prototype	Spinorama	datas/eq/Celuaris Purify SPK5 prototype/iir-autoeq.txt
Chane A1.5	Spinorama	datas/eq/Chane A1.5/iir-autoeq.txt
Chesky Audio LC1	Spinorama	datas/eq/Chesky Audio LC1/iir-autoeq.txt
Coda Audio CoRay4	Spinorama	datas/eq/Coda Audio CoRay4/iir-autoeq.txt
Coda Audio G512	Spinorama	datas/eq/Coda Audio G512/iir-autoeq.txt
Coda Audio G515	Spinorama	datas/eq/Coda Audio G515/iir-autoeq.txt
Coda Audio G712	Spinorama	datas/eq/Coda Audio G712/iir-autoeq.txt
Coda Audio G715	Spinorama	datas/eq/Coda Audio G715/iir-autoeq.txt
Coda Audio HOPS12	Spinorama	datas/eq/Coda Audio HOPS12/iir-autoeq.txt
Coda Audio HOPS5	Spinorama	datas/eq/Coda Audio HOPS5/iir-autoeq.txt
