Fifine Ampligame H6 (game)	Auriculares Argentina	results/Auriculares Argentina/over-ear/Fifine Ampligame H6 (game)/Fifine Ampligame H6 (game) ParametricEQ.txt
Fifine Ampligame H6 (movie)	Auriculares Argentina	results/Auriculares Argentina/over-ear/Fifine Ampligame H6 (movie)/Fifine Ampligame H6 (movie) ParametricEQ.txt
Fifine Ampligame H6 (music)	Auriculares Argentina	results/Auriculares Argentina/over-ear/Fifine Ampligame H6 (music)/Fifine Ampligame H6 (music) ParametricEQ.txt
Focal Listen Professional	Auriculares Argentina	results/Auriculares Argentina/over-ear/Focal Listen Professional/Focal Listen Professional ParametricEQ.txt
Grado RS1x	Auriculares Argentina	results/Auriculares Argentina/over-ear/Grado RS1x/Grado RS1x ParametricEQ.txt
Grado SR325x	Auriculares Argentina	results/Auriculares Argentina/over-ear/Grado SR325x/Grado SR325x ParametricEQ.txt
Grado SR60e	Auriculares Argentina	results/Auriculares Argentina/over-ear/Grado SR60e/Grado SR60e ParametricEQ.txt
Grado SR60x	Auriculares Argentina	results/Auriculares Argentina/over-ear/Grado SR60x/Grado SR60x ParametricEQ.txt
HEDD HEDDphone	Auriculares Argentina	results/Auriculares Argentina/over-ear/HEDD HEDDphone/HEDD HEDDphone ParametricEQ.txt
HIFIMAN Ananda	Auriculares Argentina	results/Auriculares Argentina/over-ear/HIFIMAN Ananda/HIFIMAN Ananda ParametricEQ.txt
HIFIMAN Arya	Auriculares Argentina	results/Auriculares Argentina/over-ear/HIFIMAN Arya/HIFIMAN Arya ParametricEQ.txt
HIFIMAN Deva Pro	Auriculares Argentina	results/Auriculares Argentina/over-ear/HIFIMAN Deva Pro/HIFIMAN Deva Pro ParametricEQ.txt
HIFIMAN HE-R9	Auriculares Argentina	results/Auriculares Argentina/over-ear/HIFIMAN HE-R9/HIFIMAN HE-R9 ParametricEQ.txt
HIFIMAN HE400se	Auriculares Argentina	results/Auriculares Argentina/over-ear/HIFIMAN HE400se/HIFIMAN HE400se ParametricEQ.txt
HIFIMAN Sundara (post-2020 earpads)	Auriculares Argentina	results/Auriculares Argentina/over-ear/HIFIMAN Sundara (post-2020 earpads)/HIFIMAN Sundara (post-2020 earpads) ParametricEQ.txt
HIFIMAN Sundara Closed-Back	Auriculares Argentina	results/Auriculares Argentina/over-ear/HIFIMAN Sundara Closed-Back/HIFIMAN Sundara Closed-Back ParametricEQ.txt
HarmonicDyne Black Hole	Auriculares Argentina	results/Auriculares Argentina/over-ear/HarmonicDyne Black Hole/HarmonicDyne Black Hole ParametricEQ.txt
HarmonicDyne Zeus Elite	Auriculares Argentina	results/Auriculares Argentina/over-ear/HarmonicDyne Zeus Elite/HarmonicDyne Zeus Elite ParametricEQ.txt
Kiwi Ears Division	Auriculares Argentina	results/Auriculares Argentina/over-ear/Kiwi Ears Division/Kiwi Ears Division ParametricEQ.txt
Kiwi Ears KE4	Auriculares Argentina	results/Auriculares Argentina/over-ear/Kiwi Ears KE4/Kiwi Ears KE4 ParametricEQ.txt
Koss Porta Pro (Yaxi earpads)	Auriculares Argentina	results/Auriculares Argentina/over-ear/Koss Porta Pro (Yaxi earpads)/Koss Porta Pro (Yaxi earpads) ParametricEQ.txt
Meze 99 Classics	Auriculares Argentina	results/Auriculares Argentina/over-ear/Meze 99 Classics/Meze 99 Classics ParametricEQ.txt
Meze 99 Neo	Auriculares Argentina	results/Auriculares Argentina/over-ear/Meze 99 Neo/Meze 99 Neo ParametricEQ.txt
Neumann NDH20	Auriculares Argentina	results/Auriculares Argentina/over-ear/Neumann NDH20/Neumann NDH20 ParametricEQ.txt
Neumann NDH30	Auriculares Argentina	results/Auriculares Argentina/over-ear/Neumann NDH30/Neumann NDH30 ParametricEQ.txt
Philips Fidelio X2HR	Auriculares Argentina	results/Auriculares Argentina/over-ear/Philips Fidelio X2HR/Philips Fidelio X2HR ParametricEQ.txt
Philips SHP9500	Auriculares Argentina	results/Auriculares Argentina/over-ear/Philips SHP9500/Philips SHP9500 ParametricEQ.txt
Rose Technics North Forest	Auriculares Argentina	results/Auriculares Argentina/over-ear/Rose Technics North Forest/Rose Technics North Forest ParametricEQ.txt
Sendy Aiva	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sendy Aiva/Sendy Aiva ParametricEQ.txt
Sennheiser HD 280 Pro	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sennheiser HD 280 Pro/Sennheiser HD 280 Pro ParametricEQ.txt
Sennheiser HD 400 Pro	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sennheiser HD 400 Pro/Sennheiser HD 400 Pro ParametricEQ.txt
Sennheiser HD 558	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sennheiser HD 558/Sennheiser HD 558 ParametricEQ.txt
Sennheiser HD 560S	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sennheiser HD 560S/Sennheiser HD 560S ParametricEQ.txt
Sennheiser HD 58X	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sennheiser HD 58X/Sennheiser HD 58X ParametricEQ.txt
Sennheiser HD 600	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sennheiser HD 600/Sennheiser HD 600 ParametricEQ.txt
Sennheiser HD 650	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sennheiser HD 650/Sennheiser HD 650 ParametricEQ.txt
Sennheiser HD 6XX	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sennheiser HD 6XX/Sennheiser HD 6XX ParametricEQ.txt
Sennheiser HD 800 S	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sennheiser HD 800 S/Sennheiser HD 800 S ParametricEQ.txt
Shure SRH1840	Auriculares Argentina	results/Auriculares Argentina/over-ear/Shure SRH1840/Shure SRH1840 ParametricEQ.txt
Shure SRH440	Auriculares Argentina	results/Auriculares Argentina/over-ear/Shure SRH440/Shure SRH440 ParametricEQ.txt
Sivga Anser	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sivga Anser/Sivga Anser ParametricEQ.txt
Sivga Audio Robin	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sivga Audio Robin/Sivga Audio Robin ParametricEQ.txt
Sivga Luan	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sivga Luan/Sivga Luan ParametricEQ.txt
Sivga Oriole	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sivga Oriole/Sivga Oriole ParametricEQ.txt
Sivga P2 Pro	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sivga P2 Pro/Sivga P2 Pro ParametricEQ.txt
Skullcandy Crusher Wireless (bass boost)	Auriculares Argentina	results/Auriculares Argentina/over-ear/Skullcandy Crusher Wireless (bass boost)/Skullcandy Crusher Wireless (bass boost) ParametricEQ.txt
Skullcandy Crusher Wireless	Auriculares Argentina	results/Auriculares Argentina/over-ear/Skullcandy Crusher Wireless/Skullcandy Crusher Wireless ParametricEQ.txt
Sony MDR-ZX110	Auriculares Argentina	results/Auriculares Argentina/over-ear/Sony MDR-ZX110/Sony MDR-ZX110 ParametricEQ.txt
ThieAudio ghost	Auriculares Argentina	results/Auriculares Argentina/over-ear/ThieAudio ghost/ThieAudio ghost ParametricEQ.txt
BASN Bmaster5	Bakkwatan	results/Bakkwatan/in-ear/BASN Bmaster5/BASN Bmaster5 ParametricEQ.txt
BLON x HBB Z300	Bakkwatan	results/Bakkwatan/in-ear/BLON x HBB Z300/BLON x HBB Z300 ParametricEQ.txt
DUNU SA6 Ultra (atmospheric immersion mode)	Bakkwatan	results/Bakkwatan/in-ear/DUNU SA6 Ultra (atmospheric immersion mode)/DUNU SA6 Ultra (atmospheric immersion mode) ParametricEQ.txt
DUNU SA6 Ultra (default mode)	Bakkwatan	results/Bakkwatan/in-ear/DUNU SA6 Ultra (default mode)/DUNU SA6 Ultra (default mode) ParametricEQ.txt
EPZ Q1	Bakkwatan	results/Bakkwatan/in-ear/EPZ Q1/EPZ Q1 ParametricEQ.txt
Juzear 41T	Bakkwatan	results/Bakkwatan/in-ear/Juzear 41T/Juzear 41T ParametricEQ.txt
Juzear 51T	Bakkwatan	results/Bakkwatan/in-ear/Juzear 51T/Juzear 51T ParametricEQ.txt
KZ x HBB PR2	Bakkwatan	results/Bakkwatan/in-ear/KZ x HBB PR2/KZ x HBB PR2 ParametricEQ.txt
Kiwi Ears Cadenza	Bakkwatan	results/Bakkwatan/in-ear/Kiwi Ears Cadenza/Kiwi Ears Cadenza ParametricEQ.txt
Kiwi Ears Dolce	Bakkwatan	results/Bakkwatan/in-ear/Kiwi Ears Dolce/Kiwi Ears Dolce ParametricEQ.txt
Kiwi Ears Orchestra Lite	Bakkwatan	results/Bakkwatan/in-ear/Kiwi Ears Orchestra Lite/Kiwi Ears Orchestra Lite ParametricEQ.txt
Kiwi Ears Quartet (off-off)	Bakkwatan	results/Bakkwatan/in-ear/Kiwi Ears Quartet (off-off)/Kiwi Ears Quartet (off-off) ParametricEQ.txt
Kiwi Ears Quartet (off-on)	Bakkwatan	results/Bakkwatan/in-ear/Kiwi Ears Quartet (off-on)/Kiwi Ears Quartet (off-on) ParametricEQ.txt
Kiwi Ears Quartet (on-off)	Bakkwatan	results/Bakkwatan/in-ear/Kiwi Ears Quartet (on-off)/Kiwi Ears Quartet (on-off) ParametricEQ.txt
Kiwi Ears Quartet (on-on)	Bakkwatan	results/Bakkwatan/in-ear/Kiwi Ears Quartet (on-on)/Kiwi Ears Quartet (on-on) ParametricEQ.txt
MiM Audio Dark Magician	Bakkwatan	results/Bakkwatan/in-ear/MiM Audio Dark Magician/MiM Audio Dark Magician ParametricEQ.txt
Moondrop Aria	Bakkwatan	results/Bakkwatan/in-ear/Moondrop Aria/Moondrop Aria ParametricEQ.txt
Moondrop Blessing 3	Bakkwatan	results/Bakkwatan/in-ear/Moondrop Blessing 3/Moondrop Blessing 3 ParametricEQ.txt
Moondrop Quarks DSP	Bakkwatan	results/Bakkwatan/in-ear/Moondrop Quarks DSP/Moondrop Quarks DSP ParametricEQ.txt
Moondrop x Crinacle Blessing2 Dusk	Bakkwatan	results/Bakkwatan/in-ear/Moondrop x Crinacle Blessing2 Dusk/Moondrop x Crinacle Blessing2 Dusk ParametricEQ.txt
Sennheiser IE 200	Bakkwatan	results/Bakkwatan/in-ear/Sennheiser IE 200/Sennheiser IE 200 ParametricEQ.txt
Shuoer EJ07M Kinda Lava Edition	Bakkwatan	results/Bakkwatan/in-ear/Shuoer EJ07M Kinda Lava Edition/Shuoer EJ07M Kinda Lava Edition ParametricEQ.txt
Shuoer Galileo	Bakkwatan	results/Bakkwatan/in-ear/Shuoer Galileo/Shuoer Galileo ParametricEQ.txt
TANGZU Princess Chang Le	Bakkwatan	results/Bakkwatan/in-ear/TANGZU Princess Chang Le/TANGZU Princess Chang Le ParametricEQ.txt
TANGZU Wan'er S.G	Bakkwatan	results/Bakkwatan/in-ear/TANGZU Wan'er S.G/TANGZU Wan'er S.G ParametricEQ.txt
TANGZU Zetian Wu	Bakkwatan	results/Bakkwatan/in-ear/TANGZU Zetian Wu/TANGZU Zetian Wu ParametricEQ.txt
TANGZU x HBB Zetian Wu Heyday Edition	Bakkwatan	results/Bakkwatan/in-ear/TANGZU x HBB Zetian Wu Heyday Edition/TANGZU x HBB Zetian Wu Heyday Edition ParametricEQ.txt
TANGZU x SeeAudio Shimin Li Encounter Edition	Bakkwatan	results/Bakkwatan/in-ear/TANGZU x SeeAudio Shimin Li Encounter Edition/TANGZU x SeeAudio Shimin Li Encounter Edition ParametricEQ.txt
Tanchjim HANA 2021	Bakkwatan	results/Bakkwatan/in-ear/Tanchjim HANA 2021/Tanchjim HANA 2021 ParametricEQ.txt
ThieAudio Hype 2	Bakkwatan	results/Bakkwatan/in-ear/ThieAudio Hype 2/ThieAudio Hype 2 ParametricEQ.txt
ThieAudio Monarch MKIII	Bakkwatan	results/Bakkwatan/in-ear/ThieAudio Monarch MKIII/ThieAudio Monarch MKIII ParametricEQ.txt
ThieAudio Oracle MKII	Bakkwatan	results/Bakkwatan/in-ear/ThieAudio Oracle MKII/ThieAudio Oracle MKII ParametricEQ.txt
ThieAudio Prestige LTD	Bakkwatan	results/Bakkwatan/in-ear/ThieAudio Prestige LTD/ThieAudio Prestige LTD ParametricEQ.txt
Tripowin Olina SE	Bakkwatan	results/Bakkwatan/in-ear/Tripowin Olina SE/Tripowin Olina SE ParametricEQ.txt
Tripowin Piccolo	Bakkwatan	results/Bakkwatan/in-ear/Tripowin Piccolo/Tripowin Piccolo ParametricEQ.txt
Truthear Hexa	Bakkwatan	results/Bakkwatan/in-ear/Truthear Hexa/Truthear Hexa ParametricEQ.txt
Truthear x Crinacle Zero RED (Bass+)	Bakkwatan	results/Bakkwatan/in-ear/Truthear x Crinacle Zero RED (Bass+)/Truthear x Crinacle Zero RED (Bass+) ParametricEQ.txt
Truthear x Crinacle Zero RED	Bakkwatan	results/Bakkwatan/in-ear/Truthear x Crinacle Zero RED/Truthear x Crinacle Zero RED ParametricEQ.txt
Xenns Mangird Top	Bakkwatan	results/Bakkwatan/in-ear/Xenns Mangird Top/Xenns Mangird Top ParametricEQ.txt
Yanyin Moonlight (2023 version)	Bakkwatan	results/Bakkwatan/in-ear/Yanyin Moonlight (2023 version)/Yanyin Moonlight (2023 version) ParametricEQ.txt
1MORE ComfoBuds Mini	DHRME	results/DHRME/in-ear/1MORE ComfoBuds Mini/1MORE ComfoBuds Mini ParametricEQ.txt
Anker Liberty 4 Pro	DHRME	results/DHRME/in-ear/Anker Liberty 4 Pro/Anker Liberty 4 Pro ParametricEQ.txt
Anker Liberty 5	DHRME	results/DHRME/in-ear/Anker Liberty 5/Anker Liberty 5 ParametricEQ.txt
Anker Soundcore Liberty 4 NC	DHRME	results/DHRME/in-ear/Anker Soundcore Liberty 4 NC/Anker Soundcore Liberty 4 NC ParametricEQ.txt
Anker Soundcore Sleep A20	DHRME	results/DHRME/in-ear/Anker Soundcore Sleep A20/Anker Soundcore Sleep A20 ParametricEQ.txt
Bang & Olufsen BeoPlay Ex	DHRME	results/DHRME/in-ear/Bang & Olufsen BeoPlay Ex/Bang & Olufsen BeoPlay Ex ParametricEQ.txt
Beats PowerBeats Pro 2	DHRME	results/DHRME/in-ear/Beats PowerBeats Pro 2/Beats PowerBeats Pro 2 ParametricEQ.txt
Beyerdynamic Amiron 100 (eq off)	DHRME	results/DHRME/in-ear/Beyerdynamic Amiron 100 (eq off)/Beyerdynamic Amiron 100 (eq off) ParametricEQ.txt
Beyerdynamic Amiron 300 (eq off, ANC Max)	DHRME	results/DHRME/in-ear/Beyerdynamic Amiron 300 (eq off, ANC Max)/Beyerdynamic Amiron 300 (eq off, ANC Max) ParametricEQ.txt
Bose QuietComfort EarBuds 2024	DHRME	results/DHRME/in-ear/Bose QuietComfort EarBuds 2024/Bose QuietComfort EarBuds 2024 ParametricEQ.txt
Bose QuietComfort Ultra Earbuds	DHRME	results/DHRME/in-ear/Bose QuietComfort Ultra Earbuds/Bose QuietComfort Ultra Earbuds ParametricEQ.txt
Bowers & Wilkins Pi7 S2 (ANC Off)	DHRME	results/DHRME/in-ear/Bowers & Wilkins Pi7 S2 (ANC Off)/Bowers & Wilkins Pi7 S2 (ANC Off) ParametricEQ.txt
Bowers & Wilkins Pi7 S2 (ANC On)	DHRME	results/DHRME/in-ear/Bowers & Wilkins Pi7 S2 (ANC On)/Bowers & Wilkins Pi7 S2 (ANC On) ParametricEQ.txt
Bowers & Wilkins Pi8	DHRME	results/DHRME/in-ear/Bowers & Wilkins Pi8/Bowers & Wilkins Pi8 ParametricEQ.txt
CMF by Nothing Buds Pro (ANC on, balanced EQ)	DHRME	results/DHRME/in-ear/CMF by Nothing Buds Pro (ANC on, balanced EQ)/CMF by Nothing Buds Pro (ANC on, balanced EQ) ParametricEQ.txt
Cambridge Audio Melomania M100 (foam eartips)	DHRME	results/DHRME/in-ear/Cambridge Audio Melomania M100 (foam eartips)/Cambridge Audio Melomania M100 (foam eartips) ParametricEQ.txt
Cambridge Audio Melomania M100 (silicone eartips)	DHRME	results/DHRME/in-ear/Cambridge Audio Melomania M100 (silicone eartips)/Cambridge Audio Melomania M100 (silicone eartips) ParametricEQ.txt
Campfire Audio Orbit	DHRME	results/DHRME/in-ear/Campfire Audio Orbit/Campfire Audio Orbit ParametricEQ.txt
Creative Labs Aurvana Ace 2 (ANC off, flat eq)	DHRME	results/DHRME/in-ear/Creative Labs Aurvana Ace 2 (ANC off, flat eq)/Creative Labs Aurvana Ace 2 (ANC off, flat eq) ParametricEQ.txt
Creative Labs Aurvana Ace 2 (ANC on, flat eq)	DHRME	results/DHRME/in-ear/Creative Labs Aurvana Ace 2 (ANC on, flat eq)/Creative Labs Aurvana Ace 2 (ANC on, flat eq) ParametricEQ.txt
Denon Perl Pro (ANC On, flat eq)	DHRME	results/DHRME/in-ear/Denon Perl Pro (ANC On, flat eq)/Denon Perl Pro (ANC On, flat eq) ParametricEQ.txt
EarFun Air 2 NC	DHRME	results/DHRME/in-ear/EarFun Air 2 NC/EarFun Air 2 NC ParametricEQ.txt
EarFun Air Pro 2 (A eartips)	DHRME	results/DHRME/in-ear/EarFun Air Pro 2 (A eartips)/EarFun Air Pro 2 (A eartips) ParametricEQ.txt
EarFun Air Pro 2 (B eartips)	DHRME	results/DHRME/in-ear/EarFun Air Pro 2 (B eartips)/EarFun Air Pro 2 (B eartips) ParametricEQ.txt
EarFun Air Pro 3 (ANC noise cancelling, default EQ)	DHRME	results/DHRME/in-ear/EarFun Air Pro 3 (ANC noise cancelling, default EQ)/EarFun Air Pro 3 (ANC noise cancelling, default EQ) ParametricEQ.txt
EarFun Air Pro 3 (ANC normal, default EQ)	DHRME	results/DHRME/in-ear/EarFun Air Pro 3 (ANC normal, default EQ)/EarFun Air Pro 3 (ANC normal, default EQ) ParametricEQ.txt
EarFun Air Pro 3	DHRME	results/DHRME/in-ear/EarFun Air Pro 3/EarFun Air Pro 3 ParametricEQ.txt
EarFun EH100 (black ring)	DHRME	results/DHRME/in-ear/EarFun EH100 (black ring)/EarFun EH100 (black ring) ParametricEQ.txt
EarFun EH100 (red ring)	DHRME	results/DHRME/in-ear/EarFun EH100 (red ring)/EarFun EH100 (red ring) ParametricEQ.txt
EarFun Free Pro 3 (ANC off, default EQ)	DHRME	results/DHRME/in-ear/EarFun Free Pro 3 (ANC off, default EQ)/EarFun Free Pro 3 (ANC off, default EQ) ParametricEQ.txt
EarFun Free Pro	DHRME	results/DHRME/in-ear/EarFun Free Pro/EarFun Free Pro ParametricEQ.txt
Edifier NeoBuds Pro 2 (ANC high, classic EQ)	DHRME	results/DHRME/in-ear/Edifier NeoBuds Pro 2 (ANC high, classic EQ)/Edifier NeoBuds Pro 2 (ANC high, classic EQ) ParametricEQ.txt
Edifier NeoBuds Pro 2 (ANC off, classic EQ)	DHRME	results/DHRME/in-ear/Edifier NeoBuds Pro 2 (ANC off, classic EQ)/Edifier NeoBuds Pro 2 (ANC off, classic EQ) ParametricEQ.txt
Edifier Stax Spirit S10 (original eq)	DHRME	results/DHRME/in-ear/Edifier Stax Spirit S10 (original eq)/Edifier Stax Spirit S10 (original eq) ParametricEQ.txt
Fairphone Fairbuds (flat eq, ANC Off)	DHRME	results/DHRME/in-ear/Fairphone Fairbuds (flat eq, ANC Off)/Fairphone Fairbuds (flat eq, ANC Off) ParametricEQ.txt
Fairphone Fairbuds (flat eq, ANC On)	DHRME	results/DHRME/in-ear/Fairphone Fairbuds (flat eq, ANC On)/Fairphone Fairbuds (flat eq, ANC On) ParametricEQ.txt
Google Pixel Buds Pro 2	DHRME	results/DHRME/in-ear/Google Pixel Buds Pro 2/Google Pixel Buds Pro 2 ParametricEQ.txt
HIFIMAN Svanar (ANC Hifi)	DHRME	results/DHRME/in-ear/HIFIMAN Svanar (ANC Hifi)/HIFIMAN Svanar (ANC Hifi) ParametricEQ.txt
HIFIMAN Svanar (ANC)	DHRME	results/DHRME/in-ear/HIFIMAN Svanar (ANC)/HIFIMAN Svanar (ANC) ParametricEQ.txt
Huawei Free Buds Pro 3 (ANC max)	DHRME	results/DHRME/in-ear/Huawei Free Buds Pro 3 (ANC max)/Huawei Free Buds Pro 3 (ANC max) ParametricEQ.txt
Huawei Free Buds Pro 4 (default eq)	DHRME	results/DHRME/in-ear/Huawei Free Buds Pro 4 (default eq)/Huawei Free Buds Pro 4 (default eq) ParametricEQ.txt
JBL Tour Pro 3 (eq off)	DHRME	results/DHRME/in-ear/JBL Tour Pro 3 (eq off)/JBL Tour Pro 3 (eq off) ParametricEQ.txt
JLab Audio Epic Lab Edition (JLab Signature eq)	DHRME	results/DHRME/in-ear/JLab Audio Epic Lab Edition (JLab Signature eq)/JLab Audio Epic Lab Edition (JLab Signature eq) ParametricEQ.txt
Jabra Elite 10 Gen 2	DHRME	results/DHRME/in-ear/Jabra Elite 10 Gen 2/Jabra Elite 10 Gen 2 ParametricEQ.txt
Jabra Elite 10	DHRME	results/DHRME/in-ear/Jabra Elite 10/Jabra Elite 10 ParametricEQ.txt
Jabra Elite 4	DHRME	results/DHRME/in-ear/Jabra Elite 4/Jabra Elite 4 ParametricEQ.txt
Jabra Elite 5	DHRME	results/DHRME/in-ear/Jabra Elite 5/Jabra Elite 5 ParametricEQ.txt
Jabra Elite 8 Active 2	DHRME	results/DHRME/in-ear/Jabra Elite 8 Active 2/Jabra Elite 8 Active 2 ParametricEQ.txt
Jabra Elite 8 Active	DHRME	results/DHRME/in-ear/Jabra Elite 8 Active/Jabra Elite 8 Active ParametricEQ.txt
KZ Carol	DHRME	results/DHRME/in-ear/KZ Carol/KZ Carol ParametricEQ.txt
KZ VXS Pro	DHRME	results/DHRME/in-ear/KZ VXS Pro/KZ VXS Pro ParametricEQ.txt
KZ VXS	DHRME	results/DHRME/in-ear/KZ VXS/KZ VXS ParametricEQ.txt
KZ Xtra	DHRME	results/DHRME/in-ear/KZ Xtra/KZ Xtra ParametricEQ.txt
Master & Dynamic MW08	DHRME	results/DHRME/in-ear/Master & Dynamic MW08/Master & Dynamic MW08 ParametricEQ.txt
Moondrop Golden Ages (monitor eq)	DHRME	results/DHRME/in-ear/Moondrop Golden Ages (monitor eq)/Moondrop Golden Ages (monitor eq) ParametricEQ.txt
